1,Fz
2,FC1
3,FCz
4,FC2
5,FC4
6,FC6
7,C4
8,C6
9,CP4
10,CP6
11,FC3
12,FC5
13,C3
14,C5
15,CP3
16,CP5
17,CP1
18,P1
19,Cz
20,CPz
21,Pz
22,POz
23,CP2
24,P2
25,PO7
26,PO3
27,O1
28,Oz
29,Iz
30,O2
31,PO4
32,PO8
